Name;Length;WingSpan;WingArea;EmptyMass;MaxFuelMass;CritAirSpd;CritAirSpdMach;CritGearSpd;CombatFlaps;TakeoffFlaps;CritFlapsSpd;CritWingOverload;NumEngines;RPM;MaxNitro;NitroConsum;CritAoA
a6m5_ko_otsu;9.05;11.0;21.3;2088.0;417.6;777.0;0.83;300.0;20.0;33.0;0.1,420.0,1.0,220.0;-79507.4,182256.0;1;500.0,2750.0,3000.0;0.0;0;17.0,-14.5,16.5,-13.0
a6m5_zero;9.05;11.0;21.3;2094.0;417.6;703.0;0.83;300.0;20.0;33.0;0.1,420.0,1.0,220.0;-79507.4,182256.0;1;500.0,2750.0,3000.0;0.0;0;17.0,-14.5,16.5,-13.0
a6m6c;9.05;11.0;21.3;2401.0;475.2;777.0;0.83;300.0;20.0;33.0;0.1,420.0,1.0,220.0;-153260.0,204347.0;1;500.0,2800.0,3000.0;70.0;0;17.0,-14.5,16.5,-13.0
a7he1;9.3;9.1;16.98;1911.0;200.0;730.0;0.8;300.0;20.0;33.0;0.1,520.4,1.0,320.4;-87572.8,109466.0;1;400.0,2700.0,2800.0;0.0;0;15.2,-14.0,14.1,-20.0
a7m1;10.984;;;3164.0;613.0;;;310.0;20.0;33.0;0.1,510.0,1.0,280.0;;;;116.0;0;
a7m2;10.984;;;3284.0;613.0;;;310.0;20.0;33.0;0.1,510.0,1.0,280.0;;;;116.0;0;
a_109_eoa2;16.0;;;1560.0;450.0;280.0;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;1;4000.0,6016.0,7600.0;0.0;0;
a_129_a;16.0;;;3100.0;933.0;310.0;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;1;4700.0,6850.0,8900.0;0.0;0;
a_129_cbt;16.0;;;3160.0;933.0;310.0;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;1;4700.0,6150.0,8100.0;0.0;0;
a_129_d;16.0;;;3160.0;933.0;310.0;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;1;4700.0,6150.0,8100.0;0.0;0;
a_129_int;16.0;;;3100.0;933.0;310.0;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;1;4700.0,6850.0,8900.0;0.0;0;
a_29_hudson;13.51;;;5985.0;1754.0;;;235.0;20.0;33.0;0.1,340.0,1.0,235.0;;2;300.0,2500.0,2900.0;0.0;0;
a_35b;12.1158;14.63;30.8438;5322.0;780.0;702.0;0.69;278.0;20.0;33.0;0.1,430.0,0.33,290.0,1.0,278.0;-180290.0,451100.0;1;750.0,2600.0,3100.0;0.0;0;16.2,-14.0,14.3,-8.0
a_4b;11.9967;8.382;24.1548;4439.0;2467.5;1167.0;1.281;437.0;20.0;33.0;0.1,615.0,1.0,410.0;-102500.0,291900.0;2;3600.0,8300.0,8800.0;0.0;0;25.0,-22.5,23.0,-23.0
a_4e_early;11.9967;8.382;24.1548;4574.0;2467.5;1167.0;1.281;437.0;20.0;33.0;0.1,615.0,1.0,410.0;-102500.0,291900.0;2;4600.0,11650.0,11952.0;0.0;0;25.0,-22.5,23.0,-23.0
a_4e_early_iaf;12.59;8.382;24.1548;4919.0;2467.5;1167.0;1.281;437.0;20.0;33.0;0.1,615.0,1.0,410.0;-102500.0,291900.0;2;4600.0,11650.0,11952.0;0.0;0;25.0,-22.5,23.0,-23.0
a_4e_late_iaf;12.59;8.382;24.1548;4944.0;2467.5;1167.0;1.281;437.0;20.0;33.0;0.1,615.0,1.0,410.0;-102500.0,291900.0;2;4600.0,12060.0,12410.0;0.0;0;25.0,-22.5,23.0,-23.0
a_4h;11.9967;8.382;24.1548;4644.0;2467.5;1167.0;1.281;437.0;20.0;33.0;0.1,615.0,1.0,410.0;-102500.0,291900.0;2;4600.0,12060.0,12410.0;0.0;0;25.0,-22.5,23.0,-23.0
a_4n;12.59;8.382;24.1548;4950.0;2467.5;1167.0;1.281;437.0;20.0;33.0;0.1,615.0,1.0,410.0;-102500.0,291900.0;2;4600.0,12010.0,12400.0;0.0;0;25.0,-22.5,23.0,-23.0
a_4ptm_malaysia;11.9967;8.382;24.1548;4580.0;2467.5;1167.0;1.281;437.0;20.0;33.0;0.1,615.0,1.0,410.0;-102500.0,291900.0;2;3600.0,8300.0,8800.0;0.0;0;25.0,-22.5,23.0,-23.0
a_5c;15.415;9.68;27.95;6609.0;2827.0;1260.0;1.65;577.0;0;33.0;0.2,700.0,0.33,500.0,1.0,450.0;-215000.0,435000.0;1;4100.0,11195.0,11600.0;0.0;0;22.0,-21.0,16.0,-17.0
a_6e_tram;16.688;16.1544;49.136;12455.0;7229.0;1322.0;1.07;460.0;0;70.0;0.1,650.0,1.0,460.0;-330000.0,940000.0;1;4600.0,12060.0,12410.0;0.0;0;23.0,-21.0,22.5,-19.0
a_7d;14.06;;;9006.0;4201.0;1254.0;;407.0;20.0;33.0;0.1,505.0,0.33,457.0,1.0,407.0;;1;6896.0,12770.0,13408.0;0.0;0;
a_7e;14.06;11.8049;34.84;9011.0;4552.0;1254.0;1.124;407.0;20.0;33.0;0.1,505.0,0.33,457.0,1.0,407.0;-291000.0,670600.0;1;6896.0,12770.0,13408.0;0.0;0;23.5,-22.5,22.0,-21.0
a_7k;14.06;11.8049;34.84;9011.0;4552.0;1254.0;1.124;407.0;20.0;33.0;0.1,505.0,0.33,457.0,1.0,407.0;-291000.0,670600.0;1;6896.0,12770.0,13408.0;0.0;0;23.5,-22.5,22.0,-21.0
ab_205a_1;12.98;;;2200.0;833.0;;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;;;0.0;0;
ah-64d;16.0;4.9;4.8;5320.0;1100.0;460.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;12500.0,20900.0,30000.0;0.0;0;28.6,-28.0,29.6,-28.0
ah_1f;17.51;;;2970.0;833.0;;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;;;0.0;0;
ah_1f_iaf;17.51;;;2970.0;833.0;;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;;;0.0;0;
ah_1g;17.51;;;2780.0;707.0;;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;;;0.0;0;
ah_1g_iaf;17.51;;;2780.0;707.0;;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;;;0.0;0;
ah_1q_iaf;17.51;;;2780.0;707.0;;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;;;0.0;0;
ah_1s;17.51;;;2970.0;833.0;;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;;;0.0;0;
ah_1w;16.0;4.0;4.2;4898.0;879.0;460.0;0.8;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;12500.0,20900.0,30000.0;0.0;0;28.6,-28.0,22.6,-21.0
ah_1z;16.0;4.0;4.2;5580.0;1216.0;460.0;0.8;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;12500.0,20900.0,30000.0;0.0;0;28.6,-28.0,22.6,-21.0
ah_2_rooivalk;16.3;6.3;5.4;5910.0;1440.0;460.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-80000.0,180000.0;1;12500.0,23000.0,29000.0;0.0;0;28.6,-28.0,29.6,-28.0
ah_56a;17.51;8.0;18.0;5880.0;1290.0;520.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-300000.0,500000.0;1;3000.0,6600.0,10500.0;0.0;0;25.6,-28.0,22.6,-21.0
ah_60_iaf;16.0;5.8;3.0;5690.0;1110.0;460.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;12500.0,20900.0,30000.0;0.0;0;28.6,-28.0,29.6,-28.0
ah_64a;16.0;;;5060.0;1100.0;340.0;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;1;12500.0,20900.0,30000.0;0.0;0;
ah_64a_iaf;16.0;;;5060.0;1100.0;340.0;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;1;12500.0,20900.0,30000.0;0.0;0;
ah_64d;16.0;4.9;4.8;5320.0;1100.0;460.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;12500.0,20900.0,30000.0;0.0;0;28.6,-28.0,29.6,-28.0
ah_64d_i_saraph;16.0;4.9;4.8;5320.0;1100.0;460.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;12500.0,20900.0,30000.0;0.0;0;28.6,-28.0,29.6,-28.0
ah_64d_japan;16.0;4.9;4.8;5320.0;1100.0;460.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;12500.0,20900.0,30000.0;0.0;0;28.6,-28.0,29.6,-28.0
ah_64d_netherlands;16.0;4.9;4.8;5320.0;1100.0;460.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;12500.0,20900.0,30000.0;0.0;0;28.6,-28.0,29.6,-28.0
ah_64e;16.0;4.9;4.8;5510.0;1100.0;460.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;12500.0,20900.0,30000.0;0.0;0;28.6,-28.0,29.6,-28.0
ah_6m;17.5;4.0;0.6;790.0;180.0;300.0;0.6;320.0;0;33.0;0.0,1600.0,0.21,1564.0,0.33,1351.0,1.0,1315.0;-40000.0,83000.0;1;2000.0,6000.0,8200.0;0.0;0;28.6,-28.0,22.6,-21.0
ah_mk1;16.0;;;5460.0;1100.0;340.0;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;1;12500.0,20900.0,30000.0;0.0;0;
ahs;16.0;;;5060.0;1100.0;340.0;;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;;1;12500.0,20900.0,30000.0;0.0;0;
aichi_e13a;11.49;14.5;36.0;2297.0;1010.0;450.0;0.83;550.0;20.0;33.0;0.1,520.4,1.0,320.4;-127138.0,171757.0;1;100.0,2550.0,2650.0;0.0;0;17.0,-14.5,16.5,-13.0
alpha_jet_a;12.465;9.114;17.5;3720.0;2087.0;1127.0;1.05;390.0;0;33.0;0.2,580.0,1.0,390.0;-145000.0,305000.0;1;11960.0,22561.0,23700.0;0.0;0;21.0,-20.0,19.0,-21.0
alpha_jet_e;12.465;9.114;17.5;3725.0;2087.0;1127.0;1.05;390.0;0;33.0;0.2,580.0,1.0,390.0;-145000.0,305000.0;1;11960.0,22561.0,23700.0;0.0;0;21.0,-20.0,19.0,-21.0
alpha_jet_th_phase_1;12.465;9.114;17.5;3720.0;2087.0;1127.0;1.05;390.0;0;33.0;0.2,580.0,1.0,390.0;-145000.0,305000.0;1;11960.0,22561.0,23700.0;0.0;0;21.0,-20.0,19.0,-21.0
am-1_mauler;12.75;15.26;46.0852;6910.0;1388.0;805.0;0.8;700.0;20.0;33.0;0.2,420.0,0.33,350.0,1.0,300.0;-255476.0,510952.0;1;1200.0,2700.0,3060.0;92.0;0;18.5,-10.0,16.5,-18.5
amx_a_1a_brazil;13.23;8.87;23.0;6700.0;3685.0;1180.0;1.05;444.0;20.0;33.0;0.2,936.0,1.0,333.0;-285000.0,575000.0;1;5000.0,12900.0,15000.0;0.0;0;21.0,-20.0,21.5,-19.0
amx_italy;13.23;8.87;23.0;6700.0;3513.0;1180.0;1.05;444.0;20.0;33.0;0.2,936.0,1.0,333.0;-285000.0,575000.0;1;5000.0,12900.0,15000.0;0.0;0;21.0,-20.0,21.5,-19.0
ar_2;12.78;18.0;48.21;5270.0;950.0;650.0;0.75;350.0;20.0;33.0;0.1,320.0,1.0,280.0;-152055.0,273699.0;2;900.0,2700.0,2800.0;0.0;0;17.0,-12.0,15.0,-19.0
arado-196a-3;10.98;;;2631.0;288.0;500.0;;550.0;20.0;33.0;0.1,380.0,1.0,140.0;;1;500.0,2550.0,2950.0;0.0;0;
arado-234;12.65;;;3735.0;3000.0;;;400.0;20.0;33.0;0.1,550.0,1.0,350.0;;4;2700.0,8700.0,9000.0;0.0;0;
arado-234_hockey;12.65;;;3735.0;3000.0;;;400.0;20.0;33.0;0.1,550.0,1.0,350.0;;;;0.0;0;
arado-234c-3;12.65;;;6700.0;3100.0;;;400.0;20.0;33.0;0.1,550.0,1.0,350.0;;;;0.0;0;
arado_234b_2_mt;12.65;;;3735.0;3000.0;;;400.0;20.0;33.0;0.1,550.0,1.0,350.0;;4;2700.0,8700.0,9000.0;0.0;0;
ariete;9.6;7.5;14.73;2439.0;936.0;1125.0;1.21;450.0;20.0;33.0;0.1,520.4,1.0,320.4;-80500.0,198500.0;2;8000.0,14700.0,15500.0;0.0;0;21.0,-21.0,20.0,-17.0
attaker_fb1;11.58;11.277;20.88;4400.0;1038.0;985.0;0.84;351.0;20.0;33.0;0.1,1000.0,1.0,987.0;-170000.0,295000.0;1;5000.0,12500.0,16000.0;0.0;0;16.1,-14.0,14.5,-17.0
av_8a;14.3;7.7;18.6;5570.0;2335.0;1463.0;1.25;648.0;0;33.0;0.1,1111.0,0.32,926.0,1.0,556.0;-220000.0,560000.0;1;4900.0,7510.0,10000.0;223.0;0;23.0,-23.0,26.0,-21.0
av_8b_na;14.12;9.25;21.6;6260.0;3520.0;1137.0;1.1;648.0;0;33.0;0.2,973.0,0.32,833.0,1.0,556.0;-220000.0,560000.0;1;4900.0,7510.0,10000.0;227.0;0;25.0,-22.0,27.0,-21.0
av_8b_plus;14.12;9.25;21.6;6327.0;3520.0;1137.0;1.1;648.0;0;33.0;0.2,973.0,0.32,833.0,1.0,556.0;-220000.0,560000.0;1;4900.0,7510.0,10000.0;227.0;0;25.0,-22.0,27.0,-21.0
av_8c;14.3;7.7;18.6;5570.0;2335.0;1463.0;1.25;648.0;0;33.0;0.1,1111.0,0.32,926.0,1.0,556.0;-220000.0,560000.0;1;4900.0,7510.0,10000.0;223.0;0;23.0,-23.0,26.0,-21.0
av_8s;14.3;7.7;18.6;5570.0;2335.0;1463.0;1.25;648.0;0;33.0;0.1,1111.0,0.32,926.0,1.0,556.0;-220000.0,560000.0;1;4900.0,7510.0,10000.0;223.0;0;23.0,-23.0,26.0,-21.0
avenger_mk1;12.23;16.505;45.52;5272.0;906.0;612.0;0.63;397.0;0;33.0;0.1,485.0,1.0,285.0;-86700.0,199500.0;1;800.0,2600.0,3100.0;0.0;0;16.5,-11.0,17.0,-13.0
aw_159;16.0;4.5;3.2;3350.0;798.0;460.0;0.79;420.0;0;33.0;0.0,600.0,0.21,564.0,0.33,351.0,1.0,315.0;-70000.0,130000.0;1;4700.0,6850.0,8900.0;0.0;0;28.6,-28.0,22.6,-21.0
b-17e;22.496;31.632;131.918;15906.0;4714.0;516.0;0.63;290.0;20.0;33.0;0.1,400.0,1.0,249.0;-196037.0,305365.0;1;600.0,2500.0,2900.0;0.0;0;16.2,-14.0,14.3,-8.0
b-17e_late;22.496;31.632;131.918;15996.0;4714.0;516.0;0.63;290.0;20.0;33.0;0.1,400.0,1.0,249.0;-196037.0,305365.0;1;600.0,2500.0,2900.0;0.0;0;16.2,-14.0,14.3,-8.0
b-17g;22.781;31.632;131.918;16855.0;7576.0;516.0;0.63;290.0;20.0;33.0;0.1,400.0,1.0,249.0;-196037.0,305365.0;1;600.0,2501.0,3100.0;0.0;0;16.2,-14.0,14.3,-8.0
b-29;30.175;43.047;161.46;32867.0;17958.0;507.0;0.64;389.0;20.0;33.0;0.1,340.0,1.0,270.0;-532000.0,1064000.0;4;550.0,2801.0,3150.0;0.0;0;14.2,-12.0,13.0,-13.0
b-57;19.96;19.51;88.8;11200.0;6616.0;990.0;0.85;450.0;0;33.0;0.1,520.4,1.0,320.4;-309812.0,679812.0;2;5000.0,8300.0,9000.0;0.0;0;15.0,-13.35,12.0,-22.0
b-57b;19.96;19.51;88.8;13350.0;6640.0;990.0;0.85;450.0;0;33.0;0.1,520.4,1.0,320.4;-309812.0,729812.0;2;5000.0,8300.0,9000.0;0.0;0;15.0,-13.35,12.0,-22.0
b5n2;11.3;15.518;39.69;2148.0;788.0;555.0;0.5;450.0;20.0;33.0;0.1,420.4,1.0,280.4;-68000.0,180810.0;1;100.0,2550.0,3000.0;0.0;0;19.0,-14.0,16.0,-15.0
b6n1;10.865;14.894;32.8;3034.0;1155.0;650.0;0.7;310.0;20.0;33.0;0.1,380.0,1.0,280.4;-71540.0,229165.0;1;450.0,2600.0,2850.0;85.0;0;17.0,-14.0,16.0,-15.0
b6n2;10.865;;;3034.0;1155.0;650.0;;310.0;20.0;33.0;0.1,380.0,1.0,280.4;;1;450.0,2600.0,2850.0;85.0;0;
b6n2a;10.865;;;3034.0;1155.0;650.0;;310.0;20.0;33.0;0.1,380.0,1.0,280.4;;1;450.0,2600.0,2850.0;85.0;0;
b7a2;11.49;14.4;31.8;3936.76;1600.0;680.0;0.75;350.0;20.0;33.0;0.1,480.0,1.0,280.0;-430414.0,430414.0;1;450.0,2900.0,3200.0;0.0;0;16.7,-14.0,15.8,-13.8
b7a2_homare_23;11.49;14.4;31.8;3936.76;1600.0;680.0;0.75;350.0;20.0;33.0;0.1,480.0,1.0,280.0;-430414.0,430414.0;1;400.0,3000.0,3493.27;126.0;0;16.7,-14.0,15.8,-13.8
b_10b;13.63;21.5;63.0;4931.0;1214.8;564.0;0.65;235.0;20.0;33.0;0.1,340.0,1.0,235.0;-110000.0,220500.0;2;400.0,2200.0,2450.0;0.0;0;15.0,-13.0,14.5,-12.0
b_18a;17.63;;;7490.689;1663.54;;;350.0;20.0;33.0;0.1,340.0,1.0,280.0;;;;0.0;0;
b_239_finland;7.938;10.668;18.6;1762.0;430.0;761.0;0.75;280.0;20.0;33.0;0.1,460.0,0.5,320.0,1.0,240.0;-73575.0,165544.0;1;500.0,2200.0,2520.0;0.0;0;17.0,-12.0,14.0,-14.0
b_24d;20.4724;33.528;97.359;15569.0;7506.0;600.0;0.62;263.0;0;33.0;0.1,390.0,1.0,263.0;-246800.0,494500.0;4;600.0,2700.0,2950.0;0.0;0;11.0,-12.5,11.5,-13.0
b_25j_1;16.307;20.604;56.67;10205.0;2654.0;591.0;0.65;294.0;20.0;33.0;0.1,430.0,0.33,320.0,1.0,294.0;-177470.0,325660.0;2;600.0,2600.0,2880.0;0.0;0;14.25,-13.2,13.5,-15.0
b_25j_20;16.307;20.604;56.67;10205.0;2654.0;591.0;0.65;294.0;20.0;33.0;0.1,430.0,0.33,320.0,1.0,294.0;-177470.0,325660.0;2;600.0,2600.0,2880.0;0.0;0;14.25,-13.2,13.5,-15.0
b_26b_c;17.73;21.64;61.19;9687.0;2731.0;596.5;0.75;265.0;20.0;33.0;0.1,430.0,0.33,320.0,1.0,297.0;-177470.0,496125.0;2;600.0,2700.0,2880.0;0.0;0;14.0,-13.0,12.0,-10.0
b_34;16.9;19.96;51.0;8550.0;1548.0;633.0;0.66;235.0;20.0;33.0;0.1,340.0,1.0,235.0;-200000.0,360000.0;2;600.0,2700.0,3100.0;0.0;0;18.0,-13.0,17.0,-12.0
b_48_firecrest;11.976;13.7;32.58;5277.0;1003.0;750.0;0.76;360.0;20.0;33.0;0.2,430.0,1.0,272.0;-145000.0,345000.0;1;600.0,2701.0,3120.0;46.0;0;17.3,-10.0,15.8,-15.0
b_52h;48.0;56.0;366.0;78100.0;141600.0;910.0;0.95;450.0;20.0;50.0;0.1,482.0,1.0,352.0;-1400000.0,2800000.0;1;5000.0,8300.0,9000.0;0.0;0;18.0,-13.35,17.0,-22.0
b_66b;22.8;22.09;72.6;19510.0;13709.0;1098.0;0.99;463.0;20.0;33.0;0.1,518.0,1.0,370.0;-400000.0,750000.0;2;3000.0,6100.0,7500.0;0.0;0;18.0,-14.0,18.0,-22.0
ba_65_a80;9.889;12.0;23.3748;2038.0;508.0;590.0;0.65;400.0;20.0;33.0;0.1,520.0,1.0,250.0;-86745.0,181375.0;1;450.0,2200.0,2350.0;0.0;0;16.5,-12.0,16.0,-15.0
ba_65_k14_l;9.53;12.0;23.3748;2305.0;508.0;590.0;0.65;400.0;20.0;33.0;0.1,520.0,1.0,250.0;-86745.0,181375.0;1;600.0,2400.0,3000.0;0.0;0;16.5,-12.0,16.0,-15.0
bb-1;10.25;;;2971.0;560.0;530.0;;350.0;20.0;33.0;0.1,450.0,[0.3, 340.0],[1.0, 280.0];;1;450.0,2375.0,2800.0;0.0;0;
be_6;23.0;33.0;120.0;17600.0;7446.0;500.0;0.65;450.0;20.0;33.0;0.1,300.0,1.0,220.0;-411000.0,568400.0;2;550.0,2600.0,2800.0;0.0;0;17.5,-12.0,16.0,-19.0
beaufighter_mk1_40mm;12.7;17.63;46.7;7113.0;1972.46;676.0;0.75;242.0;20.0;33.0;0.1,440.0,0.33,242.0,1.0,216.0;-193672.0,364560.0;2;400.0,2800.0,3150.0;0.0;0;16.0,-14.0,18.0,-15.0
beaufighter_mk21;12.7;17.63;46.7;7250.0;1780.0;676.0;0.75;242.0;20.0;33.0;0.1,440.0,0.33,242.0,1.0,216.0;-193672.0,364560.0;2;400.0,2900.0,3150.0;0.0;0;16.0,-14.0,18.0,-15.0
beaufighter_mk6c;12.7;17.63;46.7;7113.0;1780.0;676.0;0.75;242.0;20.0;33.0;0.1,440.0,0.33,242.0,1.0,216.0;-193672.0,364560.0;2;400.0,2900.0,3150.0;0.0;0;16.0,-14.0,18.0,-15.0
beaufighter_mkx;12.7;17.63;46.7;7900.0;1780.0;676.0;0.75;242.0;20.0;33.0;0.1,440.0,0.33,242.0,1.0,216.0;-193672.0,364560.0;2;400.0,2900.0,3150.0;0.0;0;16.0,-14.0,18.0,-15.0
beaufort_mkviii;13.462;17.6275;47.195;6524.4;1865.0;523.0;0.62;242.0;20.0;33.0;0.1,440.0,1.0,216.0;-142500.0,345500.0;2;550.0,2700.0,3060.0;0.0;0;15.0,-14.2,14.4,-14.0
bf-109a_1;8.738;9.867;16.2;1900.0;177.0;790.0;0.82;280.0;20.0;33.0;0.1,400.0,0.5,350.0,1.0,250.0;-66000.0,123970.0;1;400.0,2700.0,2850.0;0.0;0;18.2,-14.0,15.1,-17.0
bf-109b_2;8.738;9.867;16.2;1646.0;177.0;790.0;0.82;280.0;20.0;33.0;0.1,400.0,0.5,350.0,1.0,250.0;-66000.0,123970.0;1;400.0,2700.0,2850.0;0.0;0;18.2,-14.0,15.1,-17.0
bf-109c_1;8.738;9.867;16.2;1851.0;177.0;790.0;0.82;280.0;20.0;33.0;0.1,400.0,0.5,350.0,1.0,250.0;-66000.0,123970.0;1;445.0,2700.0,2800.0;0.0;0;18.2,-14.0,15.1,-17.0
bf-109e-1;8.738;;;2150.0;303.0;;;320.0;20.0;33.0;0.1,500.0,1.0,300.0;;;;0.0;0;
bf-109e-4;8.738;;;2118.2;303.0;;;320.0;20.0;33.0;0.1,500.0,0.5,450.0,0.7,390.0,1.0,280.0;;;;0.0;0;
bf-109f-1;9.16;;;2287.0;300.0;;;360.0;20.0;33.0;0.1,460.0,1.0,260.0;;;;0.0;0;
bf-109f-4;9.16;;;2457.0;296.0;;;360.0;20.0;33.0;0.1,460.0,1.0,260.0;;;;0.0;0;
bf-109f-4_trop;9.16;;;2457.0;296.0;;;360.0;20.0;33.0;0.1,460.0,1.0,260.0;;;;0.0;0;
bf-109g-10;9.16;;;2720.0;296.0;;;360.0;20.0;33.0;0.1,460.0,1.0,260.0;;;;63.0;0;
bf-109g-14;9.16;;;2760.0;296.0;;;360.0;20.0;33.0;0.1,460.0,1.0,260.0;;;;63.0;0;
